psgc_code,location,region,province,geographic_level
1380602000,Binondo,National Capital Region (NCR),Sarangani,SubMun
1380100000,City of Caloocan,National Capital Region (NCR),Sarangani,City
1380608000,Ermita,National Capital Region (NCR),Sarangani,SubMun
1380609000,Intramuros,National Capital Region (NCR),Sarangani,SubMun
1380200000,City of Las Pi̱as,National Capital Region (NCR),Sarangani,City
1380300000,City of Makati,National Capital Region (NCR),Sarangani,City
1380400000,City of Malabon,National Capital Region (NCR),Sarangani,City
1380610000,Malate,National Capital Region (NCR),Sarangani,SubMun
1380500000,City of Mandaluyong,National Capital Region (NCR),Sarangani,City
1380600000,City of Manila,National Capital Region (NCR),Sarangani,City
1380700000,City of Marikina,National Capital Region (NCR),Sarangani,City
1380800000,City of Muntinlupa,National Capital Region (NCR),Sarangani,City
1380900000,City of Navotas,National Capital Region (NCR),Sarangani,City
1380611000,Paco,National Capital Region (NCR),Sarangani,SubMun
1380612000,Pandacan,National Capital Region (NCR),Sarangani,SubMun
1381000000,City of Para̱aque,National Capital Region (NCR),Sarangani,City
1381100000,Pasay City,National Capital Region (NCR),Sarangani,City
1381200000,City of Pasig,National Capital Region (NCR),Sarangani,City
1381701000,Pateros,National Capital Region (NCR),Sarangani,Mun
1380613000,Port Area,National Capital Region (NCR),Sarangani,SubMun
1381300000,Quezon City,National Capital Region (NCR),Sarangani,City
1380603000,Quiapo,National Capital Region (NCR),Sarangani,SubMun
1380606000,Sampaloc,National Capital Region (NCR),Sarangani,SubMun
1381400000,City of San Juan,National Capital Region (NCR),Sarangani,City
1380607000,San Miguel,National Capital Region (NCR),Sarangani,SubMun
1380604000,San Nicolas,National Capital Region (NCR),Sarangani,SubMun
1380614000,Santa Ana,National Capital Region (NCR),Sarangani,SubMun
1380605000,Santa Cruz,National Capital Region (NCR),Sarangani,SubMun
1381500000,City of Taguig,National Capital Region (NCR),Sarangani,City
1380601000,Tondo I/II,National Capital Region (NCR),Sarangani,SubMun
1381600000,City of Valenzuela,National Capital Region (NCR),Sarangani,City
0102801000,Adams,Region I (Ilocos Region),Ilocos Norte,Mun
0102802000,Bacarra,Region I (Ilocos Region),Ilocos Norte,Mun
0102803000,Badoc,Region I (Ilocos Region),Ilocos Norte,Mun
0102804000,Bangui,Region I (Ilocos Region),Ilocos Norte,Mun
0102811000,Banna,Region I (Ilocos Region),Ilocos Norte,Mun
0102805000,City of Batac,Region I (Ilocos Region),Ilocos Norte,City
0102806000,Burgos,Region I (Ilocos Region),Ilocos Norte,Mun
0102807000,Carasi,Region I (Ilocos Region),Ilocos Norte,Mun
0102808000,Currimao,Region I (Ilocos Region),Ilocos Norte,Mun
0102809000,Dingras,Region I (Ilocos Region),Ilocos Norte,Mun
